,Week Start,Week End,Twitter_Sentiment_Score,Twitter_Weighted_Sentiment_Score,weightedSentiment
0,2019-01-01,2019-01-07,0.163785571428571,0.0881601757883291,positive
1,2019-01-08,2019-01-14,0.2732077142857137,0.19557560814165148,positive
2,2019-01-15,2019-01-21,0.3023714285714279,0.27240165908482744,positive
3,2019-01-22,2019-01-28,0.27315314285714243,0.14125907142857141,positive
4,2019-01-29,2019-02-04,0.2878861428571426,0.1379173550634486,positive
5,2019-02-05,2019-02-11,0.3489825714285705,0.2623737163029525,positive
6,2019-02-12,2019-02-18,0.3123338571428568,0.29161284429454754,positive
7,2019-02-19,2019-02-25,0.35266485714285634,0.28074264040457814,positive
8,2019-02-26,2019-03-04,0.4086480000000003,0.34520099829559286,positive
9,2019-03-05,2019-03-11,0.3514495714285709,0.21399509239624356,positive
10,2019-03-12,2019-03-18,0.34728228571428515,0.2835038202787122,positive
11,2019-03-19,2019-03-25,0.28543428571428575,0.2596520480854853,positive
12,2019-03-26,2019-04-01,0.27952971428571377,0.21303543327333507,positive
13,2019-04-02,2019-04-08,0.46979042857142905,0.4014676063973977,positive
14,2019-04-09,2019-04-15,0.448728285714287,0.3643398533724341,positive
15,2019-04-16,2019-04-22,0.47905357142857263,0.3730632931912922,positive
16,2019-04-23,2019-04-29,0.3906139999999994,0.2862838517122212,positive
17,2019-04-30,2019-05-06,0.48196057142857335,0.38322460812661696,positive
18,2019-05-07,2019-05-13,0.48502371428571567,0.3942697794462693,positive
19,2019-05-14,2019-05-20,0.29696957142857117,0.23078540079244134,positive
20,2019-05-21,2019-05-27,0.33941999999999944,0.25287422766490397,positive
21,2019-05-28,2019-06-03,0.20537799999999956,0.18825206508135173,positive
22,2019-06-04,2019-06-10,0.21453314285714287,0.22994264943457193,positive
23,2019-06-11,2019-06-17,0.22209785714285715,0.2961279692307692,positive
24,2019-06-18,2019-06-24,0.16142671428571417,0.19926804713804713,positive
25,2019-06-25,2019-07-01,0.1777691428571427,0.18337890877090054,positive
26,2019-07-02,2019-07-08,0.20613414285714296,0.20482287784679093,positive
27,2019-07-09,2019-07-15,0.20832914285714269,0.2616638888888889,positive
28,2019-07-16,2019-07-22,0.1975641428571428,0.17193965714285714,positive
29,2019-07-23,2019-07-29,0.20168085714285724,0.20096066014669925,positive
30,2019-07-30,2019-08-05,0.12012714285714275,0.15802230862277516,positive
31,2019-08-06,2019-08-12,0.16929757142857135,0.22634837425348375,positive
32,2019-08-13,2019-08-19,0.1520284285714284,0.18978138277327156,positive
33,2019-08-20,2019-08-26,0.11886985714285712,0.14760315985130112,positive
34,2019-08-27,2019-09-02,0.1732532857142855,0.24266747243426634,positive
35,2019-09-03,2019-09-09,0.18552514285714256,0.200930197606457,positive
36,2019-09-10,2019-09-16,0.1265654285714285,0.1045794911164729,positive
37,2019-09-17,2019-09-23,0.1644097142857142,0.17685393171236422,positive
38,2019-09-24,2019-09-30,0.16147857142857133,0.08446938431262299,positive
39,2019-10-01,2019-10-07,0.14856357142857138,0.18184350721420645,positive
40,2019-10-08,2019-10-14,0.15746757142857135,0.20171655753040224,positive
41,2019-10-15,2019-10-21,0.199161,0.18720778173190983,positive
42,2019-10-22,2019-10-28,0.19860585714285683,0.2456713434927308,positive
43,2019-10-29,2019-11-04,0.19760314285714276,0.3022675189772273,positive
44,2019-11-05,2019-11-11,0.19446442857142848,0.15846477459016392,positive
45,2019-11-12,2019-11-18,0.16250228571428554,0.058676383571179956,positive
46,2019-11-19,2019-11-25,0.17397099999999988,0.19653840601503758,positive
47,2019-11-26,2019-12-02,0.2101345714285715,0.23589385329080892,positive
48,2019-12-03,2019-12-09,0.24046485714285717,0.20368627246678825,positive
49,2019-12-10,2019-12-16,0.17825228571428547,0.2302641123274631,positive
50,2019-12-17,2019-12-23,0.22040271428571453,0.25327570391358245,positive
51,2019-12-24,2019-12-30,0.24800385714285703,0.2724230695113558,positive
52,2019-12-31,2020-01-06,0.19206599999999993,0.06335520833333337,positive
53,2020-01-07,2020-01-13,0.19384714285714297,0.26225881542699725,positive
54,2020-01-14,2020-01-20,0.17587742857142855,0.29347933604336046,positive
55,2020-01-21,2020-01-27,0.14047371428571423,0.1606597750193949,positive
56,2020-01-28,2020-02-03,0.14378142857142837,0.24583322641005076,positive
57,2020-02-04,2020-02-10,0.14591999999999977,0.12649633663366336,positive
58,2020-02-11,2020-02-17,0.14093171428571402,0.20242135018290655,positive
59,2020-02-18,2020-02-24,0.10077057142857143,0.2351960138104206,positive
60,2020-02-25,2020-03-02,0.134846857142857,0.1241745709123758,positive
61,2020-03-03,2020-03-09,0.09473128571428563,0.11367616720955483,positive
62,2020-03-10,2020-03-16,0.09021542857142856,0.0629684792219275,positive
63,2020-03-17,2020-03-23,0.10606157142857124,0.14857675555555555,positive
64,2020-03-24,2020-03-30,0.11290399999999981,0.15937820140903441,positive
65,2020-03-31,2020-04-06,0.14282599999999976,0.21467394198763673,positive
66,2020-04-07,2020-04-13,0.12875942857142847,-0.017248031655844133,neutral
67,2020-04-14,2020-04-20,0.16127042857142843,0.2060825174825175,positive
68,2020-04-21,2020-04-27,0.12238699999999998,0.07645790292470442,positive
69,2020-04-28,2020-05-04,0.17132485714285683,0.08276938242968979,positive
70,2020-05-05,2020-05-11,0.18244271428571415,0.2847749042145594,positive
71,2020-05-12,2020-05-18,0.15747771428571414,0.17364905023216545,positive
72,2020-05-19,2020-05-25,0.15770885714285687,0.17502420937840785,positive
73,2020-05-26,2020-06-01,0.15066785714285705,0.27229196321471405,positive
