,Week Start,Week End,Tweets_Volume,Average_Likes,Twitter_Sentiment_Score,Twitter_Weighted_Sentiment_Score,weightedSentiment
0,2019-01-01,2019-01-07,7706,3.3774980534648327,0.09266212042564213,0.04872203480271544,neutral
1,2019-01-08,2019-01-14,6432,2.0035758706467663,0.1883301461442766,0.17560328174336143,positive
2,2019-01-15,2019-01-21,5678,0.9776329693554068,0.22240875308206895,0.22540118443316412,positive
3,2019-01-22,2019-01-28,5564,1.1533069734004313,0.2169246046010045,0.15358153743427091,positive
4,2019-01-29,2019-02-04,7400,2.6406756756756757,0.17813545945945797,0.12737361270925354,positive
5,2019-02-05,2019-02-11,5135,1.0555014605647517,0.2695952677702019,0.25636628138323064,positive
6,2019-02-12,2019-02-18,4779,1.106089139987445,0.23793601171793166,0.2445294485842027,positive
7,2019-02-19,2019-02-25,4800,1.0991666666666666,0.24902658333333144,0.20774585152838426,positive
8,2019-02-26,2019-03-04,5057,1.0897765473600949,0.3183213367609211,0.3184015234670704,positive
9,2019-03-05,2019-03-11,5647,0.864529838852488,0.24226089959270206,0.2069344667109887,positive
10,2019-03-12,2019-03-18,7051,0.9851084952489009,0.23770774358246824,0.24746200614417374,positive
11,2019-03-19,2019-03-25,7262,1.0680253373726247,0.21304829248140844,0.23039688373951261,positive
12,2019-03-26,2019-04-01,7170,1.0479776847977684,0.17894645746164378,0.14822390356850995,positive
13,2019-04-02,2019-04-08,5978,0.9618601538976246,0.2261540816326502,0.3356151091405184,positive
14,2019-04-09,2019-04-15,6255,1.109992006394884,0.19767334932054184,0.2598554402182149,positive
15,2019-04-16,2019-04-22,4744,1.2424114671163575,0.2559176433389538,0.2921338033464937,positive
16,2019-04-23,2019-04-29,4349,1.6960220740400092,0.2833955851919954,0.29657800426439235,positive
17,2019-04-30,2019-05-06,7362,2.4600651996740015,0.22073234175495582,0.23519571310799672,positive
18,2019-05-07,2019-05-13,5128,1.3535491419656787,0.30353145475818544,0.356999892286022,positive
19,2019-05-14,2019-05-20,5803,0.9829398586937791,0.2461418748922947,0.25582451551229685,positive
20,2019-05-21,2019-05-27,6714,1.1117068811438784,0.1801507447125394,0.19848815770912678,positive
21,2019-05-28,2019-06-03,5732,0.881367759944173,0.13144565596650318,0.15994995363501485,positive
22,2019-06-04,2019-06-10,5788,1.0267795438838978,0.1526209744298538,0.19501026340465433,positive
23,2019-06-11,2019-06-17,4579,0.8763922253767198,0.12279220353789054,0.1731560288640596,positive
24,2019-06-18,2019-06-24,4140,0.9886473429951691,0.1300252898550724,0.1687719786226163,positive
25,2019-06-25,2019-07-01,5148,0.9887334887334888,0.12014277389277392,0.1359276030474702,positive
26,2019-07-02,2019-07-08,3281,0.918622371228284,0.10320234684547404,0.17524980142970611,positive
27,2019-07-09,2019-07-15,4339,0.8531919797188292,0.09342913113620671,0.15689667951747294,positive
28,2019-07-16,2019-07-22,4124,0.6285160038797284,0.1071909553831228,0.13364455032757594,positive
29,2019-07-23,2019-07-29,4927,1.0545971179216562,0.1264205804749342,0.12291623036649214,positive
30,2019-07-30,2019-08-05,7408,1.7780777537796977,0.10374188714902824,0.12461768221574343,positive
31,2019-08-06,2019-08-12,4863,0.8439235040098705,0.08462029611351064,0.1173012824802052,positive
32,2019-08-13,2019-08-19,5132,0.7782540919719407,0.08764325798908813,0.12744893710278324,positive
33,2019-08-20,2019-08-26,6142,0.5529143601432758,0.06459778573754482,0.09346516041098764,positive
34,2019-08-27,2019-09-02,5298,0.7019630049075123,0.0766711400528501,0.15198866585338805,positive
35,2019-09-03,2019-09-09,5762,0.6098576883026727,0.09071797986810111,0.1477141440275981,positive
36,2019-09-10,2019-09-16,8196,1.2334065397755003,0.09951337237676874,0.1266681780934171,positive
37,2019-09-17,2019-09-23,5472,1.096856725146199,0.08411008771929804,0.16117262506536517,positive
38,2019-09-24,2019-09-30,4790,0.9496868475991649,0.07725622129436303,0.14827584323803406,positive
39,2019-10-01,2019-10-07,5634,0.964501242456514,0.10835376286829954,0.148094280809541,positive
40,2019-10-08,2019-10-14,6156,1.100227420402859,0.08896202079272245,0.13220578544357647,positive
41,2019-10-15,2019-10-21,4986,0.9566787003610109,0.10719881668672268,0.16384991799918,positive
42,2019-10-22,2019-10-28,5619,1.2245951236874888,0.10215807083110866,0.158098888,positive
43,2019-10-29,2019-11-04,7711,1.9057191025807287,0.11740230839061105,0.20349760778362938,positive
44,2019-11-05,2019-11-11,5189,1.1239159761032955,0.12079662748121026,0.152704899736866,positive
45,2019-11-12,2019-11-18,6229,1.4141916840584363,0.10738734949430047,0.08159030456177682,positive
46,2019-11-19,2019-11-25,5471,1.0010966916468653,0.10356989581429336,0.1543927749360614,positive
47,2019-11-26,2019-12-02,3695,0.8619756427604871,0.14177537212449243,0.20372414244186046,positive
48,2019-12-03,2019-12-09,5205,1.1148895292987513,0.13213930835734838,0.16019720203488372,positive
49,2019-12-10,2019-12-16,5973,1.2593336681734473,0.1173714046542774,0.18722420896628383,positive
50,2019-12-17,2019-12-23,5377,1.5045564441138182,0.1341999999999998,0.19247425558773298,positive
51,2019-12-24,2019-12-30,3910,2.411764705882353,0.18529061381074144,0.2101153673163418,positive
52,2019-12-31,2020-01-06,5776,2.8298130193905817,0.13744927285318542,0.14114766059400569,positive
53,2020-01-07,2020-01-13,6990,1.729041487839771,0.131621359084406,0.19035809394002934,positive
54,2020-01-14,2020-01-20,6893,1.8469461772812998,0.12391340490352533,0.19161698430493274,positive
55,2020-01-21,2020-01-27,6433,1.7122648841908907,0.11510789678221638,0.15744219967904632,positive
